Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: Linux raspberrypi 6.1.21-v8+ #1642 SMP PREEMPT Mon Apr  3 17:24:16 BST 2023 aarch64 GNU/Linux
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: INITIAL 
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: Pthread policy is SCHED_OTHER
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: Pthread policy is SCHED_FIFO
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: main thread running on CPU=2, CPUs =
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]:  0
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]:  1
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]:  2
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]:  3
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: 
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: starter thread running on CPU=3
Sep 10 21:10:03 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=96, sum[0...96]=4656, running on CPU=3, start=1726017003.190409, stop=1726017003.683498
Sep 10 21:10:04 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=97, sum[0...97]=4753, running on CPU=3, start=1726017003.683645, stop=1726017004.133060
Sep 10 21:10:04 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=98, sum[0...98]=4851, running on CPU=3, start=1726017004.133207, stop=1726017004.638654
Sep 10 21:10:05 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=99, sum[0...99]=4950, running on CPU=3, start=1726017004.638802, stop=1726017005.096538
Sep 10 21:10:05 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=100, sum[0...100]=5050, running on CPU=3, start=1726017005.096689, stop=1726017005.607578
Sep 10 21:10:06 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=101, sum[0...101]=5151, running on CPU=3, start=1726017005.607725, stop=1726017006.074916
Sep 10 21:10:06 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=102, sum[0...102]=5253, running on CPU=3, start=1726017006.075063, stop=1726017006.598271
Sep 10 21:10:07 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=103, sum[0...103]=5356, running on CPU=3, start=1726017006.598417, stop=1726017007.073945
Sep 10 21:10:07 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=104, sum[0...104]=5460, running on CPU=3, start=1726017007.074095, stop=1726017007.602758
Sep 10 21:10:08 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=105, sum[0...105]=5565, running on CPU=3, start=1726017007.602908, stop=1726017008.087924
Sep 10 21:10:08 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=106, sum[0...106]=5671, running on CPU=3, start=1726017008.088069, stop=1726017008.629071
Sep 10 21:10:09 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=107, sum[0...107]=5778, running on CPU=3, start=1726017008.629227, stop=1726017009.122572
Sep 10 21:10:09 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=108, sum[0...108]=5886, running on CPU=3, start=1726017009.122718, stop=1726017009.669204
Sep 10 21:10:10 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=109, sum[0...109]=5995, running on CPU=3, start=1726017009.669354, stop=1726017010.172160
Sep 10 21:10:10 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=110, sum[0...110]=6105, running on CPU=3, start=1726017010.172311, stop=1726017010.731124
Sep 10 21:10:11 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=111, sum[0...111]=6216, running on CPU=3, start=1726017010.731274, stop=1726017011.242617
Sep 10 21:10:11 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=112, sum[0...112]=6328, running on CPU=3, start=1726017011.242763, stop=1726017011.807044
Sep 10 21:10:12 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=113, sum[0...113]=6441, running on CPU=3, start=1726017011.807194, stop=1726017012.327803
